tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.05,5,5,0.0001,0.2,0.0001,0.0009460651781409979,9,0.6
0.05,5,10,0.01,0.0,0.01,0.000946943589951843,21,0.901
0.05,5,10,0.01,0.0,0.001,0.0009464513859711587,8,0.526
0.05,5,10,0.01,0.0,0.0001,0.0009448901982977986,10,0.576
0.05,5,10,0.01,0.2,0.01,0.0009448940400034189,5,0.486
0.05,5,10,0.01,0.2,0.001,0.0009502436150796711,5,0.474
0.05,5,10,0.01,0.2,0.0001,0.0009447247139178216,3,0.41
0.05,5,10,0.001,0.0,0.01,0.0010499634081497788,5,0.436
0.05,5,10,0.001,0.0,0.001,0.0010509261628612876,6,0.467
0.05,5,10,0.001,0.0,0.0001,0.001038332236930728,6,0.457
0.05,5,10,0.001,0.2,0.01,0.001090445090085268,20,0.989
0.05,5,10,0.001,0.2,0.001,0.0010784778278321028,20,0.954
0.05,5,10,0.001,0.2,0.0001,0.0010974182514473796,21,0.992
0.05,5,10,0.0001,0.0,0.01,0.0009452665108256042,3,0.378
0.05,5,10,0.0001,0.0,0.001,0.0009486861526966095,3,0.379
0.05,5,10,0.0001,0.0,0.0001,0.0009499029256403446,3,0.379
0.05,5,10,0.0001,0.2,0.01,0.0012298331130295992,3,0.418
0.05,5,10,0.0001,0.2,0.001,0.0012239902280271053,2,0.386
0.05,5,10,0.0001,0.2,0.0001,0.0012198073090985417,2,0.39
0.05,10,1,0.01,0.0,0.01,0.000969010463450104,28,1.585
0.05,10,1,0.01,0.0,0.001,0.0009721473907120526,8,0.749
0.05,10,1,0.01,0.0,0.0001,0.0009701400413177907,11,0.877
0.05,10,1,0.01,0.2,0.01,0.0009889787761494517,9,0.887
0.05,10,1,0.01,0.2,0.001,0.0010020615300163627,9,0.897
0.05,10,1,0.01,0.2,0.0001,0.0009756324579939246,9,0.888
0.05,10,1,0.001,0.0,0.01,0.0009722343529574573,8,0.757
0.05,10,1,0.001,0.0,0.001,0.00097511091735214,8,0.756
