tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.05,1,5,0.001,0.0,0.0001,0.0010145785054191947,2,0.202
0.05,1,5,0.001,0.2,0.01,0.0010701336432248354,15,0.439
0.05,1,5,0.001,0.2,0.001,0.0010545023251324892,17,0.465
0.05,1,5,0.001,0.2,0.0001,0.0010086848633363843,17,0.484
0.05,1,5,0.0001,0.0,0.01,0.00115049141459167,16,0.431
0.05,1,5,0.0001,0.0,0.001,0.0011147314216941595,21,0.524
0.05,1,5,0.0001,0.0,0.0001,0.001111794961616397,21,0.518
0.05,1,5,0.0001,0.2,0.01,0.0011386862024664879,108,2.048
0.05,1,5,0.0001,0.2,0.001,0.0012090990785509348,111,2.092
0.05,1,5,0.0001,0.2,0.0001,0.0010980359511449933,149,2.769
0.05,1,10,0.01,0.0,0.01,0.0009587228996679187,26,0.603
0.05,1,10,0.01,0.0,0.001,0.0009454406681470573,26,0.602
0.05,1,10,0.01,0.0,0.0001,0.000947400985751301,14,0.403
0.05,1,10,0.01,0.2,0.01,0.0009490059455856681,16,0.449
0.05,1,10,0.01,0.2,0.001,0.0009454123792238533,24,0.589
0.05,1,10,0.01,0.2,0.0001,0.0009622853249311447,7,0.298
0.05,1,10,0.001,0.0,0.01,0.0009533083066344261,1,0.186
0.05,1,10,0.001,0.0,0.001,0.0009555018041282892,1,0.183
0.05,1,10,0.001,0.0,0.0001,0.000956120842602104,1,0.18
0.05,1,10,0.001,0.2,0.01,0.0009486424387432635,1,0.191
0.05,1,10,0.001,0.2,0.001,0.0009490177617408335,1,0.192
0.05,1,10,0.001,0.2,0.0001,0.0009491054806858301,1,0.189
0.05,1,10,0.0001,0.0,0.01,0.0009655423345975578,12,0.364
0.05,1,10,0.0001,0.0,0.001,0.0009448595810681581,12,0.365
0.05,1,10,0.0001,0.0,0.0001,0.0009448552154935896,12,0.363
0.05,1,10,0.0001,0.2,0.01,0.0009567359229549766,12,0.411
0.05,1,10,0.0001,0.2,0.001,0.0009465540642850101,12,0.377
0.05,1,10,0.0001,0.2,0.0001,0.0009465982438996434,12,0.382
0.05,5,1,0.01,0.0,0.01,0.0011106111342087388,2,0.332
0.05,5,1,0.01,0.0,0.001,0.0009451043442822993,33,1.212
0.05,5,1,0.01,0.0,0.0001,0.0011052790796384215,10,0.566
0.05,5,1,0.01,0.2,0.01,0.0009686073171906173,3,0.4
0.05,5,1,0.01,0.2,0.001,0.0009822583524510264,22,0.984
0.05,5,1,0.01,0.2,0.0001,0.0009586496162228286,26,1.097
0.05,5,1,0.001,0.0,0.01,0.0009939371375367045,9,0.539
0.05,5,1,0.001,0.0,0.001,0.0010015586158260703,9,0.533
0.05,5,1,0.001,0.0,0.0001,0.0010019296314567327,9,0.536
0.05,5,1,0.001,0.2,0.01,0.0009740510722622275,11,0.65
0.05,5,1,0.001,0.2,0.001,0.0009458642452955246,7,0.525
0.05,5,1,0.001,0.2,0.0001,0.000978883821517229,7,0.519
0.05,5,1,0.0001,0.0,0.01,0.0009448856581002474,87,2.734
0.05,5,1,0.0001,0.0,0.001,0.0009449858334846795,87,2.727
0.05,5,1,0.0001,0.0,0.0001,0.0009449950885027647,87,2.801
0.05,5,1,0.0001,0.2,0.01,0.0009447212214581668,78,2.696
0.05,5,1,0.0001,0.2,0.001,0.0009450900251977146,73,2.547
0.05,5,1,0.0001,0.2,0.0001,0.0009447213960811496,72,2.509
0.05,5,5,0.01,0.0,0.01,0.0009595751180313528,12,0.632
0.05,5,5,0.01,0.0,0.001,0.0009457384585402906,10,0.571
0.05,5,5,0.01,0.0,0.0001,0.0009477798594161868,7,0.488
0.05,5,5,0.01,0.2,0.01,0.000944724481087178,3,0.411
0.05,5,5,0.01,0.2,0.001,0.0009657205664552748,7,0.532
0.05,5,5,0.01,0.2,0.0001,0.0009460127330385149,10,0.627
0.05,5,5,0.001,0.0,0.01,0.0010426623048260808,5,0.43
0.05,5,5,0.001,0.0,0.001,0.0010249826591461897,17,0.768
0.05,5,5,0.001,0.0,0.0001,0.001039133407175541,17,0.772
0.05,5,5,0.001,0.2,0.01,0.001029829028993845,49,1.843
0.05,5,5,0.001,0.2,0.001,0.0010233581997454166,49,1.86
0.05,5,5,0.001,0.2,0.0001,0.0011144186137244105,19,0.907
0.05,5,5,0.0001,0.0,0.01,0.0009469786891713738,6,0.458
0.05,5,5,0.0001,0.0,0.001,0.000946353015024215,6,0.457
0.05,5,5,0.0001,0.0,0.0001,0.0009463323513045907,6,0.455
0.05,5,5,0.0001,0.2,0.01,0.0009625998209230602,7,0.534
0.05,5,5,0.0001,0.2,0.001,0.0009637743351049721,7,0.532
0.05,5,5,0.0001,0.2,0.0001,0.0009642936056479812,7,0.532
0.05,5,10,0.01,0.0,0.01,0.001043691299855709,5,0.443
0.05,5,10,0.01,0.0,0.001,0.0009725913987495005,11,0.61
0.05,5,10,0.01,0.0,0.0001,0.0009524367633275688,11,0.617
0.05,5,10,0.01,0.2,0.01,0.0009473880636505783,5,0.481
0.05,5,10,0.01,0.2,0.001,0.0009480970911681652,5,0.485
0.05,5,10,0.01,0.2,0.0001,0.0009565406362526119,5,0.476
0.05,5,10,0.001,0.0,0.01,0.0010376167483627796,8,0.529
0.05,5,10,0.001,0.0,0.001,0.0010538469068706036,8,0.525
0.05,5,10,0.001,0.0,0.0001,0.0010576280765235424,8,0.523
0.05,5,10,0.001,0.2,0.01,0.0010844726348295808,22,1.033
0.05,5,10,0.001,0.2,0.001,0.0010935845784842968,25,1.119
0.05,5,10,0.001,0.2,0.0001,0.0010566447163000703,25,1.123
0.05,5,10,0.0001,0.0,0.01,0.0009524329798296094,7,0.495
0.05,5,10,0.0001,0.0,0.001,0.000945909006986767,6,0.47
0.05,5,10,0.0001,0.0,0.0001,0.0009452342055737972,6,0.479
0.05,5,10,0.0001,0.2,0.01,0.0010920263594016433,7,0.55
0.05,5,10,0.0001,0.2,0.001,0.0009944596095010638,6,0.515
0.05,5,10,0.0001,0.2,0.0001,0.000987150240689516,6,0.526
0.05,10,1,0.01,0.0,0.01,0.0009832867654040456,4,0.588
0.05,10,1,0.01,0.0,0.001,0.0009799042018130422,4,0.588
0.05,10,1,0.01,0.0,0.0001,0.000990913831628859,4,0.592
0.05,10,1,0.01,0.2,0.01,0.0009805220179259777,4,0.66
0.05,10,1,0.01,0.2,0.001,0.001019213697873056,4,0.665
0.05,10,1,0.01,0.2,0.0001,0.0009938532020896673,15,1.18
0.05,10,1,0.001,0.0,0.01,0.0010681415442377329,11,0.897
0.05,10,1,0.001,0.0,0.001,0.0010700561106204987,11,0.886
0.05,10,1,0.001,0.0,0.0001,0.0010624794522300363,11,0.885
0.05,10,1,0.001,0.2,0.01,0.001094453502446413,7,0.802
0.05,10,1,0.001,0.2,0.001,0.001090247300453484,7,0.804
0.05,10,1,0.001,0.2,0.0001,0.0010899904882535338,7,0.811
0.05,10,1,0.0001,0.0,0.01,0.0011546898167580366,51,2.582
0.05,10,1,0.0001,0.0,0.001,0.0011547532631084323,51,2.582
0.05,10,1,0.0001,0.0,0.0001,0.0011539967963472009,51,2.574
0.05,10,1,0.0001,0.2,0.01,0.0011595319956541061,47,2.685
0.05,10,1,0.0001,0.2,0.001,0.001162232249043882,47,2.672
0.05,10,1,0.0001,0.2,0.0001,0.0011609558714553714,47,2.682
